method,score_type,selection_type,target_active_ratio,sample_index,active_token_num,skipped_token_num,prediction,dense_prediction,label
Q16-ESLA,k,topk,0.7,172,12,4,1,1,1
Q16-ESLA,k,topk,0.7,173,12,4,1,1,1
Q16-ESLA,k,topk,0.7,174,12,4,1,1,1
Q16-ESLA,k,topk,0.7,175,12,4,1,1,1
Q16-ESLA,k,topk,0.7,176,12,4,0,0,0
Q16-ESLA,k,topk,0.7,177,12,4,1,1,1
Q16-ESLA,k,topk,0.7,178,12,4,1,1,1
Q16-ESLA,k,topk,0.7,179,12,4,1,1,1
Q16-ESLA,k,topk,0.7,180,12,4,1,1,1
Q16-ESLA,k,topk,0.7,181,12,4,1,1,1
Q16-ESLA,k,topk,0.7,182,12,4,1,1,1
Q16-ESLA,k,topk,0.7,183,12,4,1,1,1
Q16-ESLA,k,topk,0.7,184,12,4,1,1,1
Q16-ESLA,k,topk,0.7,185,12,4,1,1,1
Q16-ESLA,k,topk,0.7,186,12,4,1,1,1
Q16-ESLA,k,topk,0.7,187,12,4,1,1,0
Q16-ESLA,k,topk,0.7,188,12,4,1,1,1
Q16-ESLA,k,topk,0.7,189,12,4,1,1,1
Q16-ESLA,k,topk,0.7,190,12,4,0,0,0
Q16-ESLA,k,topk,0.7,191,12,4,1,1,1
Q16-ESLA,k,topk,0.7,192,12,4,1,1,1
Q16-ESLA,k,topk,0.7,193,12,4,1,1,1
Q16-ESLA,k,topk,0.7,194,12,4,1,1,1
Q16-ESLA,k,topk,0.7,195,12,4,1,1,1
Q16-ESLA,k,topk,0.7,196,12,4,0,0,0
Q16-ESLA,k,topk,0.7,197,12,4,1,1,1
Q16-ESLA,k,topk,0.7,198,12,4,1,1,1
Q16-ESLA,k,topk,0.7,199,12,4,1,1,1
Q16-ESLA,k,topk,0.7,200,12,4,0,0,0
Q16-ESLA,k,topk,0.7,201,12,4,1,1,1
Q16-ESLA,k,topk,0.7,202,12,4,1,1,1
Q16-ESLA,k,topk,0.7,203,12,4,1,1,1
Q16-ESLA,k,topk,0.7,204,12,4,1,1,1
Q16-ESLA,k,topk,0.7,205,12,4,1,1,1
Q16-ESLA,k,topk,0.7,206,12,4,1,1,1
Q16-ESLA,k,topk,0.7,207,12,4,1,1,1
Q16-ESLA,k,topk,0.7,208,12,4,1,1,1
Q16-ESLA,k,topk,0.7,209,12,4,0,0,0
Q16-ESLA,k,topk,0.7,210,12,4,1,1,1
Q16-ESLA,k,topk,0.7,211,12,4,1,1,1
Q16-ESLA,k,topk,0.7,212,12,4,1,1,1
Q16-ESLA,k,topk,0.7,213,12,4,0,0,0
Q16-ESLA,k,topk,0.7,214,12,4,1,1,1
Q16-ESLA,k,topk,0.7,215,12,4,0,0,0
Q16-ESLA,k,topk,0.7,216,12,4,1,1,1
Q16-ESLA,k,topk,0.7,217,12,4,1,1,1
Q16-ESLA,k,topk,0.7,218,12,4,0,0,0
Q16-ESLA,k,topk,0.7,219,12,4,1,1,1
Q16-ESLA,k,topk,0.7,220,12,4,1,1,1
Q16-ESLA,k,topk,0.7,221,12,4,1,1,1
Q16-ESLA,k,topk,0.7,222,12,4,1,1,1
Q16-ESLA,k,topk,0.7,223,12,4,1,1,1
Q16-ESLA,k,topk,0.7,224,12,4,0,0,0
Q16-ESLA,k,topk,0.7,225,12,4,1,1,1
Q16-ESLA,k,topk,0.7,226,12,4,0,0,0
Q16-ESLA,k,topk,0.7,227,12,4,1,1,1
Q16-ESLA,k,topk,0.7,228,12,4,1,1,1
Q16-ESLA,k,topk,0.7,229,12,4,1,1,1
Q16-ESLA,k,topk,0.7,230,12,4,1,1,1
Q16-ESLA,k,topk,0.7,231,12,4,1,1,1
Q16-ESLA,k,topk,0.7,232,12,4,1,1,1
Q16-ESLA,k,topk,0.7,233,12,4,1,1,1
Q16-ESLA,k,topk,0.7,234,12,4,0,0,1
Q16-ESLA,k,topk,0.7,235,12,4,1,1,1
Q16-ESLA,k,topk,0.7,236,12,4,1,1,1
Q16-ESLA,k,topk,0.7,237,12,4,1,1,1
Q16-ESLA,k,topk,0.7,238,12,4,1,1,1
Q16-ESLA,k,topk,0.7,239,12,4,1,1,1
Q16-ESLA,k,topk,0.7,240,12,4,1,1,1
Q16-ESLA,k,topk,0.7,241,12,4,1,1,1
Q16-ESLA,k,topk,0.7,242,12,4,1,1,1
Q16-ESLA,k,topk,0.7,243,12,4,1,1,1
Q16-ESLA,k,topk,0.7,244,12,4,1,1,1
Q16-ESLA,k,topk,0.7,245,12,4,1,1,1
Q16-ESLA,k,topk,0.7,246,12,4,1,1,1
Q16-ESLA,k,topk,0.7,247,12,4,0,0,0
Q16-ESLA,k,topk,0.7,248,12,4,1,1,1
Q16-ESLA,k,topk,0.7,249,12,4,1,1,1
Q16-ESLA,k,topk,0.7,250,12,4,0,1,1
Q16-ESLA,k,topk,0.7,251,12,4,1,1,1
Q16-ESLA,k,topk,0.7,252,12,4,1,1,1
Q16-ESLA,k,topk,0.7,253,12,4,1,1,1
Q16-ESLA,k,topk,0.7,254,12,4,1,1,1
Q16-ESLA,k,topk,0.7,255,12,4,1,1,1
Q16-ESLA,k,topk,0.7,256,12,4,1,1,1
Q16-ESLA,k,topk,0.7,257,12,4,1,1,1
Q16-ESLA,k,topk,0.7,258,12,4,1,1,1
Q16-ESLA,k,topk,0.7,259,12,4,0,0,0
Q16-ESLA,k,topk,0.7,260,12,4,0,0,0
Q16-ESLA,k,topk,0.7,261,12,4,1,1,1
Q16-ESLA,k,topk,0.7,262,12,4,1,1,1
Q16-ESLA,k,topk,0.7,263,12,4,1,1,1
Q16-ESLA,k,topk,0.7,264,12,4,1,1,1
Q16-ESLA,k,topk,0.7,265,12,4,1,1,1
Q16-ESLA,k,topk,0.7,266,12,4,1,1,1
Q16-ESLA,k,topk,0.7,267,12,4,1,1,1
Q16-ESLA,k,topk,0.7,268,12,4,1,1,1
Q16-ESLA,k,topk,0.7,269,12,4,1,1,1
Q16-ESLA,k,topk,0.7,270,12,4,1,1,1
Q16-ESLA,k,topk,0.7,271,12,4,1,1,1
Q16-ESLA,k,topk,0.7,272,12,4,1,1,1
Q16-ESLA,k,topk,0.7,273,12,4,1,1,1
Q16-ESLA,k,topk,0.7,274,12,4,1,1,1
Q16-ESLA,k,topk,0.7,275,12,4,0,0,0
Q16-ESLA,k,topk,0.7,276,12,4,1,1,1
Q16-ESLA,k,topk,0.7,277,12,4,1,1,1
Q16-ESLA,k,topk,0.7,278,12,4,0,0,0
Q16-ESLA,k,topk,0.7,279,12,4,1,1,1
Q16-ESLA,k,topk,0.7,280,12,4,0,0,1
Q16-ESLA,k,topk,0.7,281,12,4,1,1,1
Q16-ESLA,k,topk,0.7,282,12,4,1,1,1
Q16-ESLA,k,topk,0.7,283,12,4,1,1,1
Q16-ESLA,k,topk,0.7,284,12,4,1,1,1
Q16-ESLA,k,topk,0.7,285,12,4,1,1,1
Q16-ESLA,k,topk,0.7,286,12,4,1,1,1
Q16-ESLA,k,topk,0.7,287,12,4,1,1,1
Q16-ESLA,k,topk,0.7,288,12,4,0,0,0
Q16-ESLA,k,topk,0.7,289,12,4,1,1,1
Q16-ESLA,k,topk,0.7,290,12,4,1,1,1
Q16-ESLA,k,topk,0.7,291,12,4,1,1,1
Q16-ESLA,k,topk,0.7,292,12,4,1,1,1
Q16-ESLA,k,topk,0.7,293,12,4,1,1,1
Q16-ESLA,k,topk,0.7,294,12,4,1,1,1
Q16-ESLA,k,topk,0.7,295,12,4,1,1,1
Q16-ESLA,k,topk,0.7,296,12,4,1,1,1
Q16-ESLA,k,topk,0.7,297,12,4,1,1,1
Q16-ESLA,k,topk,0.7,298,12,4,1,1,1
Q16-ESLA,k,topk,0.7,299,12,4,0,0,0
Q16-ESLA,k,topk,0.7,300,12,4,1,1,1
Q16-ESLA,k,topk,0.7,301,12,4,1,1,1
Q16-ESLA,k,topk,0.7,302,12,4,1,1,1
Q16-ESLA,k,topk,0.7,303,12,4,1,1,1
Q16-ESLA,k,topk,0.7,304,12,4,1,1,1
Q16-ESLA,k,topk,0.7,305,12,4,1,1,1
Q16-ESLA,k,topk,0.7,306,12,4,1,1,1
Q16-ESLA,k,topk,0.7,307,12,4,1,1,1
Q16-ESLA,k,topk,0.7,308,12,4,1,1,1
Q16-ESLA,k,topk,0.7,309,12,4,1,1,1
Q16-ESLA,k,topk,0.7,310,12,4,0,0,1
Q16-ESLA,k,topk,0.7,311,12,4,1,1,1
Q16-ESLA,k,topk,0.7,312,12,4,1,1,1
Q16-ESLA,k,topk,0.7,313,12,4,1,1,1
Q16-ESLA,k,topk,0.7,314,12,4,1,1,1
Q16-ESLA,k,topk,0.7,315,12,4,1,1,1
Q16-ESLA,k,topk,0.7,316,12,4,1,1,1
Q16-ESLA,k,topk,0.7,317,12,4,0,0,1
Q16-ESLA,k,topk,0.7,318,12,4,1,1,1
Q16-ESLA,k,topk,0.7,319,12,4,0,0,0
Q16-ESLA,k,topk,0.7,320,12,4,1,1,1
Q16-ESLA,k,topk,0.7,321,12,4,1,1,1
Q16-ESLA,k,topk,0.7,322,12,4,1,1,1
Q16-ESLA,k,topk,0.7,323,12,4,1,1,1
Q16-ESLA,k,topk,0.7,324,12,4,1,1,1
Q16-ESLA,k,topk,0.7,325,12,4,1,1,1
Q16-ESLA,k,topk,0.7,326,12,4,1,1,1
Q16-ESLA,k,topk,0.7,327,12,4,1,1,1
Q16-ESLA,k,topk,0.7,328,12,4,1,1,1
Q16-ESLA,k,topk,0.7,329,12,4,1,1,1
Q16-ESLA,k,topk,0.7,330,12,4,1,1,1
Q16-ESLA,k,topk,0.7,331,12,4,1,1,1
Q16-ESLA,k,topk,0.7,332,12,4,1,1,1
Q16-ESLA,k,topk,0.7,333,12,4,0,0,0
Q16-ESLA,k,topk,0.7,334,12,4,1,1,1
Q16-ESLA,k,topk,0.7,335,12,4,1,1,1
Q16-ESLA,k,topk,0.7,336,12,4,1,1,1
Q16-ESLA,k,topk,0.7,337,12,4,1,1,0
Q16-ESLA,k,topk,0.7,338,12,4,1,1,1
Q16-ESLA,k,topk,0.7,339,12,4,1,1,1
Q16-ESLA,k,topk,0.7,340,12,4,1,1,1
Q16-ESLA,k,topk,0.7,341,12,4,1,1,1
Q16-ESLA,k,topk,0.7,342,12,4,1,1,1
Q16-ESLA,k,topk,0.7,343,12,4,1,1,1
Q16-ESLA,k,topk,0.7,344,12,4,1,1,1
Q16-ESLA,k,topk,0.7,345,12,4,1,1,1
Q16-ESLA,k,topk,0.7,346,12,4,1,1,1
Q16-ESLA,k,topk,0.7,347,12,4,1,1,1
Q16-ESLA,k,topk,0.7,348,12,4,1,1,1
Q16-ESLA,k,topk,0.7,349,12,4,1,1,1
Q16-ESLA,k,topk,0.7,350,12,4,1,1,1
Q16-ESLA,k,topk,0.7,351,12,4,0,0,1
Q16-ESLA,k,topk,0.7,352,12,4,1,1,1
Q16-ESLA,k,topk,0.7,353,12,4,1,1,1
Q16-ESLA,k,topk,0.7,354,12,4,1,1,1
Q16-ESLA,k,topk,0.7,355,12,4,0,0,0
Q16-ESLA,k,topk,0.7,356,12,4,1,1,1
Q16-ESLA,k,topk,0.7,357,12,4,1,1,1
Q16-ESLA,k,topk,0.7,358,12,4,1,1,1
Q16-ESLA,k,topk,0.7,359,12,4,1,1,1
Q16-ESLA,k,topk,0.7,360,12,4,1,1,1
Q16-ESLA,k,topk,0.7,361,12,4,1,1,1
Q16-ESLA,k,topk,0.7,362,12,4,1,1,1
Q16-ESLA,k,topk,0.7,363,12,4,1,1,1
Q16-ESLA,k,topk,0.7,364,12,4,0,0,0
Q16-ESLA,k,topk,0.7,365,12,4,0,1,1
Q16-ESLA,k,topk,0.7,366,12,4,1,1,1
Q16-ESLA,k,topk,0.7,367,12,4,1,1,1
Q16-ESLA,k,topk,0.7,368,12,4,1,1,1
Q16-ESLA,k,topk,0.7,369,12,4,1,1,1
Q16-ESLA,k,topk,0.7,370,12,4,1,1,1
Q16-ESLA,k,topk,0.7,371,12,4,1,1,1
Q16-ESLA,k,topk,0.7,372,12,4,1,1,1
Q16-ESLA,k,topk,0.7,373,12,4,1,1,1
Q16-ESLA,k,topk,0.7,374,12,4,1,1,1
Q16-ESLA,k,topk,0.7,375,12,4,1,1,1
Q16-ESLA,k,topk,0.7,376,12,4,1,1,1
Q16-ESLA,k,topk,0.7,377,12,4,1,1,1
Q16-ESLA,k,topk,0.7,378,12,4,1,1,1
Q16-ESLA,k,topk,0.7,379,12,4,1,1,1
Q16-ESLA,k,topk,0.7,380,12,4,1,1,1
Q16-ESLA,k,topk,0.7,381,12,4,0,0,0
Q16-ESLA,k,topk,0.7,382,12,4,1,1,1
Q16-ESLA,k,topk,0.7,383,12,4,1,1,1
Q16-ESLA,k,topk,0.7,384,12,4,1,1,1
Q16-ESLA,k,topk,0.7,385,12,4,0,0,0
Q16-ESLA,k,topk,0.7,386,12,4,1,1,1
Q16-ESLA,k,topk,0.7,387,12,4,1,1,1
Q16-ESLA,k,topk,0.7,388,12,4,1,1,1
Q16-ESLA,k,topk,0.7,389,12,4,1,1,1
Q16-ESLA,k,topk,0.7,390,12,4,1,1,1
Q16-ESLA,k,topk,0.7,391,12,4,1,1,1
Q16-ESLA,k,topk,0.7,392,12,4,0,0,1
Q16-ESLA,k,topk,0.7,393,12,4,1,1,1
Q16-ESLA,k,topk,0.7,394,12,4,1,1,1
Q16-ESLA,k,topk,0.7,395,12,4,1,1,1
Q16-ESLA,k,topk,0.7,396,12,4,1,1,1
Q16-ESLA,k,topk,0.7,397,12,4,1,1,1
Q16-ESLA,k,topk,0.7,398,12,4,1,1,1
Q16-ESLA,k,topk,0.7,399,12,4,1,1,1
Q16-ESLA,k,topk,0.7,400,12,4,1,1,1
Q16-ESLA,k,topk,0.7,401,12,4,1,1,1
Q16-ESLA,k,topk,0.7,402,12,4,1,1,1
Q16-ESLA,k,topk,0.7,403,12,4,1,1,1
Q16-ESLA,k,topk,0.7,404,12,4,1,1,1
Q16-ESLA,k,topk,0.7,405,12,4,0,0,1
Q16-ESLA,k,topk,0.7,406,12,4,1,1,1
Q16-ESLA,k,topk,0.7,407,12,4,1,1,1
Q16-ESLA,k,topk,0.7,408,12,4,1,1,1
Q16-ESLA,k,topk,0.7,409,12,4,1,1,1
Q16-ESLA,k,topk,0.7,410,12,4,1,1,1
Q16-ESLA,k,topk,0.7,411,12,4,1,1,1
Q16-ESLA,k,topk,0.7,412,12,4,1,1,1
Q16-ESLA,k,topk,0.7,413,12,4,0,0,0
Q16-ESLA,k,topk,0.7,414,12,4,1,1,1
Q16-ESLA,k,topk,0.7,415,12,4,1,1,1
Q16-ESLA,k,topk,0.7,416,12,4,1,1,1
Q16-ESLA,k,topk,0.7,417,12,4,1,1,1
Q16-ESLA,k,topk,0.7,418,12,4,0,0,0
Q16-ESLA,k,topk,0.7,419,12,4,1,1,1
Q16-ESLA,k,topk,0.7,420,12,4,0,0,0
Q16-ESLA,k,topk,0.7,421,12,4,0,0,1
Q16-ESLA,k,topk,0.7,422,12,4,1,1,1
Q16-ESLA,k,topk,0.7,423,12,4,1,1,1
Q16-ESLA,k,topk,0.7,424,12,4,0,0,0
Q16-ESLA,k,topk,0.7,425,12,4,1,1,1
Q16-ESLA,k,topk,0.7,426,12,4,1,1,1
Q16-ESLA,k,topk,0.7,427,12,4,1,1,1
Q16-ESLA,k,topk,0.7,428,12,4,1,1,1
Q16-ESLA,k,topk,0.7,429,12,4,0,1,1
Q16-ESLA,k,topk,0.7,430,12,4,1,1,1
Q16-ESLA,k,topk,0.7,431,12,4,1,1,1
Q16-ESLA,k,topk,0.7,432,12,4,1,1,1
Q16-ESLA,k,topk,0.7,433,12,4,1,1,1
Q16-ESLA,k,topk,0.7,434,12,4,1,1,1
Q16-ESLA,k,topk,0.7,435,12,4,1,1,1
Q16-ESLA,k,topk,0.7,436,12,4,0,0,0
Q16-ESLA,k,topk,0.7,437,12,4,1,1,1
Q16-ESLA,k,topk,0.7,438,12,4,0,0,0
Q16-ESLA,k,topk,0.7,439,12,4,1,1,1
Q16-ESLA,k,topk,0.7,440,12,4,1,1,1
Q16-ESLA,k,topk,0.7,441,12,4,1,1,1
Q16-ESLA,k,topk,0.7,442,12,4,1,1,1
Q16-ESLA,k,topk,0.7,443,12,4,1,1,1
Q16-ESLA,k,topk,0.7,444,12,4,1,1,1
Q16-ESLA,k,topk,0.7,445,12,4,1,1,1
Q16-ESLA,k,topk,0.7,446,12,4,0,0,0
Q16-ESLA,k,topk,0.7,447,12,4,1,1,1
Q16-ESLA,k,topk,0.7,448,12,4,1,1,1
Q16-ESLA,k,topk,0.7,449,12,4,0,0,0
Q16-ESLA,k,topk,0.7,450,12,4,1,1,1
Q16-ESLA,k,topk,0.7,451,12,4,1,1,1
Q16-ESLA,k,topk,0.7,452,12,4,1,1,1
Q16-ESLA,k,topk,0.7,453,12,4,1,1,1
Q16-ESLA,k,topk,0.7,454,12,4,0,0,0
Q16-ESLA,k,topk,0.7,455,12,4,1,1,1
Q16-ESLA,k,topk,0.7,456,12,4,1,1,1
Q16-ESLA,k,topk,0.7,457,12,4,1,1,1
Q16-ESLA,k,topk,0.7,458,12,4,1,1,1
Q16-ESLA,k,topk,0.7,459,12,4,0,1,0
Q16-ESLA,k,topk,0.7,460,12,4,1,1,1
Q16-ESLA,k,topk,0.7,461,12,4,1,1,1
Q16-ESLA,k,topk,0.7,462,12,4,0,0,0
