sample_id,label,prediction,correct,data_loading_us,ps_to_pl_us,kernel_us,pl_to_ps_us,postprocess_us,total_e2e_us,config
106,1,0,0,9.280,1142.406,1031.101,408.788,18.830,2759.778,s0_dense
107,1,0,0,9.330,1164.714,979.803,389.483,18.541,2710.486,s0_dense
108,1,1,1,9.846,1150.191,973.970,384.584,18.910,2684.535,s0_dense
109,1,1,1,9.065,1265.963,989.224,408.880,19.624,2848.818,s0_dense
110,0,0,1,9.323,1289.489,985.028,394.659,18.862,2852.418,s0_dense
111,1,1,1,9.575,1186.572,975.483,387.741,18.123,2728.443,s0_dense
112,1,1,1,9.453,1159.938,978.270,386.861,17.938,2701.748,s0_dense
113,1,1,1,9.200,1146.327,974.948,401.587,18.868,2702.616,s0_dense
114,1,1,1,9.994,1162.345,976.019,383.009,18.560,2698.443,s0_dense
115,1,1,1,9.710,1154.049,977.920,386.000,17.809,2692.480,s0_dense
116,1,1,1,9.532,1150.117,973.883,384.332,17.600,2681.335,s0_dense
117,0,0,1,9.305,1207.791,979.194,389.975,18.757,2755.293,s0_dense
118,1,1,1,9.287,1167.927,974.794,386.923,18.812,2706.738,s0_dense
119,1,1,1,9.649,1149.772,974.055,385.563,17.945,2683.699,s0_dense
120,1,1,1,9.077,1151.502,972.019,384.825,19.040,2681.551,s0_dense
121,1,1,1,9.458,1219.372,974.499,388.720,18.332,2760.560,s0_dense
122,1,1,1,9.107,1159.040,975.212,385.458,18.689,2695.797,s0_dense
123,1,1,1,9.563,1145.298,971.920,385.711,18.713,2680.523,s0_dense
124,0,0,1,9.237,1145.157,967.698,409.065,19.218,2700.880,s0_dense
125,1,1,1,9.520,1176.130,974.800,390.695,18.800,2719.175,s0_dense
126,1,1,1,9.563,1161.502,974.240,385.181,17.705,2696.812,s0_dense
127,1,1,1,9.551,1153.847,977.089,385.790,17.637,2691.477,s0_dense
128,1,1,1,9.520,1219.077,973.502,394.443,19.139,2765.815,s0_dense
129,0,1,0,9.501,1172.560,968.480,387.803,18.092,2706.203,s0_dense
130,0,0,1,9.200,1154.351,976.289,383.693,18.160,2686.979,s0_dense
131,1,1,1,9.280,1146.307,977.711,382.523,18.825,2678.616,s0_dense
132,1,1,1,9.877,1216.714,979.717,385.994,18.369,2760.394,s0_dense
133,1,1,1,9.741,1154.400,971.360,383.674,17.711,2685.021,s0_dense
134,0,0,1,9.581,1151.151,974.025,382.880,18.116,2685.083,s0_dense
135,1,1,1,9.373,1154.450,978.886,397.323,17.883,2705.975,s0_dense
136,1,1,1,8.855,1162.055,977.150,388.505,18.234,2703.126,s0_dense
137,1,1,1,9.544,1147.747,972.080,387.698,17.963,2683.243,s0_dense
138,0,0,1,9.373,1143.976,972.584,383.027,18.006,2675.262,s0_dense
139,1,1,1,9.267,1280.154,983.274,425.342,19.188,2872.855,s0_dense
140,0,0,1,9.711,1200.345,974.320,389.323,18.092,2744.283,s0_dense
141,1,1,1,9.563,1162.572,973.840,385.877,18.621,2698.640,s0_dense
142,1,1,1,9.594,1161.532,973.907,386.036,17.569,2696.671,s0_dense
143,1,1,1,9.797,1230.412,973.742,384.043,18.677,2764.708,s0_dense
144,1,1,1,9.415,1157.710,971.194,384.031,17.563,2687.336,s0_dense
145,1,1,1,9.939,1151.600,974.597,383.625,18.677,2685.890,s0_dense
146,1,1,1,9.471,1149.896,970.289,404.831,18.572,2705.293,s0_dense
147,1,1,1,9.489,1166.664,975.089,385.840,18.418,2701.169,s0_dense
148,1,1,1,9.557,1156.123,970.837,383.255,18.252,2687.219,s0_dense
149,1,1,1,9.471,1155.403,976.615,386.018,18.117,2692.516,s0_dense
150,1,1,1,9.902,1202.738,977.280,390.314,17.840,2745.901,s0_dense
151,1,1,1,9.687,1164.375,979.772,383.895,17.994,2703.588,s0_dense
152,1,1,1,9.114,1152.376,972.991,385.446,18.173,2686.733,s0_dense
153,1,1,1,9.791,1147.108,973.040,383.489,17.951,2679.741,s0_dense
154,1,1,1,9.883,1211.938,972.671,385.932,18.757,2747.120,s0_dense
155,1,1,1,10.173,1153.550,975.821,384.794,18.665,2690.991,s0_dense
156,1,1,1,9.428,1146.302,976.265,385.311,17.760,2681.655,s0_dense
157,1,1,1,9.489,1150.480,977.139,405.385,18.738,2714.554,s0_dense
158,0,0,1,9.692,1174.320,977.126,387.052,18.080,2715.501,s0_dense
159,1,1,1,9.446,1161.576,973.366,383.299,19.188,2697.157,s0_dense
160,1,1,1,9.305,1148.160,973.336,386.277,18.290,2682.874,s0_dense
161,1,1,1,9.452,1190.007,977.834,398.129,19.206,2746.191,s0_dense
162,1,1,1,9.404,1160.467,976.861,384.936,18.271,2698.658,s0_dense
163,1,1,1,9.742,1148.431,973.950,384.554,18.068,2684.357,s0_dense
164,0,0,1,9.736,1151.809,977.729,385.821,18.616,2689.348,s0_dense
165,0,0,1,9.182,1234.739,978.345,386.560,18.332,2773.913,s0_dense
166,1,1,1,9.963,1165.003,975.409,387.705,18.012,2703.784,s0_dense
167,0,0,1,9.606,1154.393,970.652,384.467,18.633,2688.320,s0_dense
168,1,1,1,9.588,1149.138,976.344,404.646,18.726,2705.551,s0_dense
169,0,0,1,10.030,1166.185,975.723,388.345,18.400,2707.612,s0_dense
170,0,1,0,9.564,1157.950,973.212,383.890,18.769,2688.240,s0_dense
171,1,1,1,9.206,1146.800,974.160,382.584,18.104,2677.028,s0_dense
172,1,1,1,9.784,1142.973,976.861,400.652,18.437,2697.077,s0_dense
173,1,1,1,9.643,1161.637,974.997,383.625,18.148,2696.172,s0_dense
174,1,1,1,8.966,1153.391,971.809,386.276,18.468,2683.969,s0_dense
175,1,1,1,9.157,1152.037,973.982,382.880,18.142,2684.227,s0_dense
176,0,0,1,9.434,1234.714,978.197,387.532,18.560,2775.649,s0_dense
177,1,1,1,8.960,1162.843,973.982,386.320,18.960,2698.609,s0_dense
178,1,1,1,9.495,1150.923,968.659,386.117,18.172,2680.670,s0_dense
179,1,1,1,9.809,1150.856,975.157,445.902,19.502,2750.031,s0_dense
180,1,1,1,9.391,1163.034,969.563,386.603,18.855,2696.233,s0_dense
181,1,1,1,9.311,1157.249,978.093,384.394,18.468,2697.058,s0_dense
182,1,1,1,10.166,1142.781,973.083,385.853,18.228,2677.077,s0_dense
183,1,1,1,9.828,1144.388,979.828,400.757,19.022,2703.668,s0_dense
184,1,1,1,9.754,1159.736,973.852,386.640,18.228,2694.942,s0_dense
185,1,1,1,9.631,1149.268,973.957,383.403,18.763,2682.548,s0_dense
186,1,1,1,9.305,1145.274,970.197,383.286,17.945,2670.529,s0_dense
187,0,1,0,9.760,1208.443,975.815,388.554,17.821,2748.013,s0_dense
188,1,1,1,9.864,1153.637,976.388,386.172,17.883,2692.985,s0_dense
189,1,1,1,9.304,1153.625,975.416,383.194,18.517,2689.390,s0_dense
190,0,0,1,9.342,1146.997,978.880,459.033,18.301,2760.339,s0_dense
191,1,1,1,9.557,1170.628,984.258,389.071,17.397,2720.634,s0_dense
192,1,1,1,9.102,1157.249,973.772,384.757,18.418,2689.367,s0_dense
193,1,1,1,9.434,1148.953,973.138,381.754,18.677,2681.120,s0_dense
194,1,1,1,9.723,1145.944,971.452,403.440,18.954,2698.640,s0_dense
195,1,1,1,9.489,1167.791,976.837,387.748,18.419,2709.957,s0_dense
196,0,0,1,9.298,1157.341,970.234,385.754,17.963,2687.889,s0_dense
197,1,1,1,9.545,1143.754,974.892,382.917,18.190,2677.833,s0_dense
198,1,1,1,9.526,1211.009,977.040,388.142,18.732,2751.810,s0_dense
199,1,1,1,9.384,1156.904,975.828,382.499,19.034,2692.787,s0_dense
200,0,0,1,9.459,1153.021,972.160,386.467,18.111,2686.050,s0_dense
201,1,1,1,9.151,1143.139,971.065,446.714,18.037,2737.859,s0_dense
202,1,1,1,9.484,1168.400,974.542,387.095,18.277,2706.542,s0_dense
203,1,1,1,9.981,1150.653,971.373,385.551,19.329,2685.336,s0_dense
204,1,1,1,9.323,1153.790,976.376,384.695,18.135,2691.329,s0_dense
205,1,1,1,9.526,1148.246,969.828,400.898,19.231,2696.554,s0_dense
206,1,1,1,9.655,1162.517,977.225,383.982,17.735,2699.329,s0_dense
207,1,1,1,9.637,1152.456,972.973,386.350,18.350,2687.902,s0_dense
208,1,1,1,9.563,1141.797,967.477,383.797,17.963,2666.893,s0_dense
209,0,0,1,9.526,1210.240,977.372,390.234,18.486,2754.621,s0_dense
210,1,1,1,9.261,1167.582,974.191,387.501,17.914,2705.754,s0_dense
211,1,1,1,9.083,1153.101,973.551,388.511,18.018,2688.843,s0_dense
212,1,1,1,9.840,1148.825,973.397,386.775,19.865,2753.834,s0_dense
213,0,0,1,9.643,1176.573,981.834,389.778,19.009,2727.981,s0_dense
214,1,1,1,9.723,1161.255,973.809,387.335,18.314,2699.865,s0_dense
215,0,0,1,9.323,1148.129,976.628,382.917,18.388,2682.609,s0_dense
216,1,1,1,9.262,1147.034,971.809,397.440,18.424,2692.609,s0_dense
217,1,1,1,9.760,1158.985,980.056,387.311,18.018,2705.243,s0_dense
218,0,0,1,9.606,1147.625,975.428,384.302,18.529,2683.754,s0_dense
219,1,1,1,9.403,1149.840,974.744,386.012,18.018,2685.594,s0_dense
220,1,1,1,9.680,1207.748,974.252,391.206,18.105,2750.732,s0_dense
221,1,1,1,9.262,1159.446,971.083,388.087,18.314,2695.483,s0_dense
222,1,1,1,9.593,1144.326,969.200,382.480,18.653,2671.791,s0_dense
223,1,1,1,9.452,1147.274,973.175,385.772,18.185,2679.637,s0_dense
224,0,0,1,54.504,1171.280,979.662,384.043,18.695,2765.987,s0_dense
225,1,1,1,10.043,1158.960,973.544,385.704,18.277,2694.357,s0_dense
226,0,0,1,9.594,1150.462,972.313,388.277,18.179,2686.696,s0_dense
227,1,1,1,9.631,1146.326,974.406,454.781,19.736,2761.631,s0_dense
228,1,1,1,9.588,1217.218,985.951,400.289,18.332,2786.394,s0_dense
229,1,1,1,9.249,1171.834,972.886,391.305,18.308,2714.627,s0_dense
230,1,1,1,9.422,1163.415,972.898,383.206,18.462,2693.114,s0_dense
231,1,1,1,9.594,1233.046,981.877,394.412,18.271,2787.434,s0_dense
232,1,1,1,9.422,1179.366,977.760,387.323,18.092,2722.449,s0_dense
233,1,1,1,9.539,1161.132,972.874,385.250,18.185,2696.480,s0_dense
234,1,0,0,9.698,1149.483,970.978,452.609,18.597,2749.994,s0_dense
235,1,1,1,9.668,1173.354,973.846,387.932,17.944,2713.157,s0_dense
236,1,1,1,9.391,1155.828,974.166,385.883,18.714,2691.557,s0_dense
237,1,1,1,9.200,1148.917,973.785,383.717,17.846,2679.982,s0_dense
238,1,1,1,9.372,1149.963,971.600,404.443,18.110,2703.274,s0_dense
239,1,1,1,10.184,1175.588,974.486,386.356,18.597,2713.883,s0_dense
240,1,1,1,9.385,1153.108,975.139,383.840,18.253,2683.920,s0_dense
241,1,1,1,9.612,1150.751,974.584,388.240,18.283,2690.984,s0_dense
242,1,1,1,9.557,1202.905,975.908,391.447,18.025,2746.154,s0_dense
243,1,1,1,9.551,1159.723,977.089,387.969,19.249,2701.656,s0_dense
244,1,1,1,9.557,1149.059,973.883,385.686,18.560,2684.339,s0_dense
245,1,1,1,9.754,1141.200,973.010,386.708,20.375,2731.138,s0_dense
246,1,1,1,9.939,1169.107,974.486,385.427,18.535,2710.972,s0_dense
247,0,0,1,9.600,1148.363,972.800,387.096,17.938,2684.154,s0_dense
248,1,1,1,9.779,1155.938,975.021,386.117,18.923,2693.373,s0_dense
249,1,1,1,9.397,1149.083,976.043,408.080,19.083,2709.625,s0_dense
250,1,1,1,9.760,1168.473,971.268,384.671,19.317,2702.314,s0_dense
251,1,1,1,9.255,1158.369,973.729,386.960,18.566,2695.526,s0_dense
252,1,1,1,9.637,1151.433,972.381,384.966,18.671,2685.440,s0_dense
253,1,1,1,9.304,1205.729,973.477,393.686,17.864,2749.667,s0_dense
254,1,1,1,9.465,1156.270,975.514,386.345,18.615,2694.862,s0_dense
255,1,1,1,9.348,1148.504,976.247,386.824,17.797,2686.763,s0_dense
256,1,1,1,9.403,1149.489,972.825,385.692,18.141,2683.490,s0_dense
257,1,1,1,9.483,1416.665,990.560,416.148,19.816,3082.843,s0_dense
258,1,1,1,10.302,1224.707,980.080,397.459,18.646,2785.815,s0_dense
259,0,0,1,9.292,1176.505,974.437,390.357,18.499,2720.123,s0_dense
260,0,0,1,9.815,1159.778,982.080,404.222,18.560,2723.982,s0_dense
261,1,1,1,9.471,1171.932,977.465,388.332,18.049,2711.575,s0_dense
262,1,1,1,9.415,1154.363,972.086,386.610,18.498,2690.166,s0_dense
263,1,1,1,9.926,1153.323,975.828,386.948,18.031,2692.123,s0_dense
264,1,1,1,9.267,1223.544,974.356,385.446,18.449,2760.394,s0_dense
265,1,1,1,9.453,1160.726,975.077,389.914,19.108,2704.886,s0_dense
266,1,1,1,9.809,1157.021,972.683,386.819,18.781,2691.631,s0_dense
267,1,1,1,9.293,1344.006,978.492,510.757,19.366,3023.329,s0_dense
268,1,1,1,10.031,1416.289,985.132,427.033,19.649,3017.938,s0_dense
269,1,1,1,33.569,1236.443,981.920,490.696,19.280,2965.760,s0_dense
270,1,1,1,10.671,1203.527,987.908,490.061,18.905,2866.123,s0_dense
271,1,1,1,9.532,1446.929,977.680,424.381,19.046,3036.308,s0_dense
272,1,1,1,10.350,1342.535,985.883,487.735,19.114,3044.646,s0_dense
273,1,1,1,9.908,1355.576,1014.289,418.388,19.754,2975.864,s0_dense
274,1,1,1,9.249,1387.624,977.723,502.308,19.557,3057.938,s0_dense
275,0,0,1,9.416,1345.083,1008.233,427.797,18.930,2969.083,s0_dense
276,1,1,1,10.191,1384.597,982.516,423.458,20.240,2977.163,s0_dense
277,1,1,1,9.871,1292.301,988.604,646.738,22.751,3132.793,s0_dense
278,0,0,1,10.370,1385.459,991.828,455.637,19.914,3075.212,s0_dense
279,1,1,1,10.006,1377.686,981.477,489.870,20.068,3064.868,s0_dense
280,1,0,0,9.507,1222.813,982.351,423.686,19.913,2813.858,s0_dense
281,1,1,1,33.908,1336.578,975.083,417.932,19.126,3040.843,s0_dense
282,1,1,1,10.019,1349.274,986.455,496.720,19.760,3069.557,s0_dense
283,1,1,1,10.215,1312.609,991.582,421.108,19.655,2913.613,s0_dense
284,1,1,1,9.908,1311.089,982.400,517.662,20.437,3003.268,s0_dense
285,1,1,1,10.572,1394.523,1005.243,429.963,19.311,3020.480,s0_dense
286,1,1,1,9.779,1333.342,984.338,482.221,19.693,3032.160,s0_dense
287,1,1,1,9.797,1301.791,1014.419,482.074,19.108,2988.394,s0_dense
288,0,0,1,9.508,1311.896,983.951,496.720,20.695,2985.385,s0_dense
289,1,1,1,9.575,1571.071,1022.646,439.095,20.333,3228.191,s0_dense
290,1,1,1,9.951,1421.372,981.631,557.145,18.628,3151.625,s0_dense
291,1,1,1,9.896,1345.772,985.563,504.307,18.831,3025.298,s0_dense
292,1,1,1,10.037,1212.646,987.348,426.658,18.825,2810.622,s0_dense
293,1,1,1,9.877,1380.277,1003.453,488.628,19.065,3062.498,s0_dense
294,1,1,1,9.403,1377.194,984.450,467.021,20.228,3045.022,s0_dense
295,1,1,1,9.655,1307.225,978.142,494.351,19.255,2969.107,s0_dense
296,1,1,1,9.717,1307.655,981.993,487.655,19.169,2963.200,s0_dense
297,1,1,1,9.465,1214.172,980.535,418.640,19.009,2794.511,s0_dense
298,1,1,1,9.588,1192.597,976.363,425.803,18.763,2776.991,s0_dense
299,0,0,1,9.680,1389.662,985.397,470.505,18.936,3059.945,s0_dense
300,1,1,1,9.576,1311.299,1024.776,533.452,20.050,3058.467,s0_dense
301,1,1,1,9.773,1312.517,1027.655,446.541,19.693,2977.680,s0_dense
302,1,1,1,9.582,1354.868,1016.050,493.736,19.840,3057.606,s0_dense
303,1,1,1,10.130,1426.905,985.520,428.240,20.935,3092.185,s0_dense
304,1,1,1,11.704,1384.788,998.419,438.246,20.062,3029.151,s0_dense
305,1,1,1,9.975,1300.560,1034.215,422.221,20.344,2944.677,s0_dense
306,1,1,1,9.631,1393.175,987.390,404.179,19.637,2969.182,s0_dense
307,1,1,1,9.766,1312.750,979.828,490.338,19.858,2985.021,s0_dense
308,1,1,1,9.446,1403.932,1017.058,495.661,20.351,3116.098,s0_dense
309,1,1,1,9.951,1222.129,975.907,429.046,19.717,2812.751,s0_dense
310,1,0,0,10.227,1308.499,983.988,632.215,20.018,3116.942,s0_dense
311,1,1,1,10.228,1321.736,981.895,499.656,18.782,2994.203,s0_dense
312,1,1,1,9.920,1220.098,976.726,422.351,44.148,2832.191,s0_dense
313,1,1,1,11.440,1315.950,983.717,424.794,18.659,2942.849,s0_dense
314,1,1,1,10.006,1380.000,981.563,728.973,19.779,3295.939,s0_dense
315,1,1,1,10.474,1380.043,997.163,501.760,19.649,3075.564,s0_dense
316,1,1,1,9.588,1427.569,984.573,414.732,19.538,3015.810,s0_dense
317,1,0,0,9.828,1461.902,991.988,428.228,19.483,3118.610,s0_dense
318,1,1,1,10.221,1303.434,985.514,494.893,19.477,2974.123,s0_dense
319,0,0,1,10.603,1309.662,985.108,423.976,23.058,2951.465,s0_dense
320,1,1,1,26.616,1326.376,986.664,436.068,19.711,2971.163,s0_dense
321,1,1,1,10.000,1329.711,978.517,506.394,19.618,3003.846,s0_dense
322,1,1,1,9.637,1354.019,980.671,425.317,18.622,2944.984,s0_dense
323,1,1,1,9.864,1254.744,1000.670,425.754,18.991,2867.747,s0_dense
324,1,1,1,9.539,1450.351,984.904,535.920,19.489,3161.594,s0_dense
325,1,1,1,9.902,1224.622,979.514,502.923,19.009,2892.929,s0_dense
326,1,1,1,10.640,1297.939,985.871,492.960,19.317,2965.464,s0_dense
327,1,1,1,9.754,1413.071,993.471,435.557,18.873,3029.299,s0_dense
328,1,1,1,9.544,1404.247,993.059,556.825,19.901,3148.720,s0_dense
329,1,1,1,10.203,1367.354,985.827,495.772,20.270,3040.067,s0_dense
330,1,1,1,10.240,1320.702,1032.510,442.942,18.867,2983.397,s0_dense
331,1,1,1,10.400,1312.923,1012.541,429.779,20.530,2949.009,s0_dense
332,1,1,1,10.290,1306.283,1002.382,461.773,19.372,2959.754,s0_dense
333,0,0,1,9.138,1396.978,982.578,422.184,19.834,2988.443,s0_dense
334,1,1,1,25.471,1359.950,986.228,423.594,34.775,3067.988,s0_dense
335,1,1,1,11.926,1312.111,978.720,449.317,18.701,2948.129,s0_dense
336,1,1,1,9.379,1389.748,984.640,483.373,19.483,3047.163,s0_dense
337,0,1,0,9.378,1508.178,997.649,448.289,19.490,3147.994,s0_dense
338,1,1,1,9.889,1243.976,983.385,394.751,19.120,2804.578,s0_dense
339,1,1,1,9.828,1177.797,974.043,390.486,17.908,2719.600,s0_dense
340,1,1,1,9.138,1172.129,976.597,409.938,18.443,2736.547,s0_dense
341,1,1,1,10.136,1170.314,974.671,387.489,18.265,2712.554,s0_dense
342,1,1,1,9.446,1160.400,978.135,384.357,18.055,2697.231,s0_dense
343,1,1,1,9.323,1152.536,970.086,386.449,17.809,2685.286,s0_dense
344,1,1,1,9.440,1201.255,971.723,397.809,18.726,2747.286,s0_dense
345,1,1,1,9.687,1162.314,970.252,386.597,18.080,2696.412,s0_dense
