index,label,prediction,model_inference_us,kernel_us
127,1,1,1547.046,974.627
128,1,1,1546.597,979.895
129,0,1,1521.533,969.563
130,0,0,1524.031,979.532
131,1,1,1543.003,971.145
132,1,1,1536.314,971.446
133,1,1,1518.104,969.077
134,0,0,1582.578,981.625
135,1,1,1552.142,971.360
136,1,1,1552.413,984.880
137,1,1,1524.455,972.880
138,0,0,1516.394,970.517
139,1,1,1512.271,968.511
140,0,0,1556.653,982.277
141,1,1,1562.056,984.474
142,1,1,1543.631,984.111
143,1,1,1528.831,978.689
144,1,1,1520.117,973.803
145,1,1,1562.339,983.464
146,1,1,1538.369,974.129
147,1,1,1542.406,977.717
148,1,1,1533.188,982.320
149,1,1,1583.193,973.102
150,1,1,1606.646,982.369
151,1,1,1543.637,973.760
152,1,1,1526.523,971.846
153,1,1,1574.363,968.898
154,1,1,1604.043,986.296
155,1,1,1543.458,973.760
156,1,1,1524.542,970.339
157,1,1,1516.689,966.517
158,0,0,1560.591,974.363
159,1,1,1539.108,973.581
160,1,1,1544.277,971.335
161,1,0,1529.790,969.693
162,1,1,1522.824,968.708
163,1,1,1561.858,976.830
164,0,0,1525.957,970.548
165,0,0,1519.754,969.095
166,1,1,1536.320,967.391
167,0,0,1561.483,976.665
168,1,1,1540.142,972.813
169,0,0,1525.649,972.153
170,0,1,1522.425,967.890
171,1,1,1527.372,967.237
172,1,1,1547.975,973.582
173,1,1,1592.733,977.200
174,1,1,1519.563,972.960
175,1,1,1532.437,982.203
176,0,0,1540.418,969.224
177,1,1,1539.083,973.846
178,1,1,1524.886,973.040
179,1,1,1542.013,974.062
180,1,1,1560.049,978.043
181,1,1,1541.582,975.286
182,1,1,1526.665,975.132
183,1,1,1511.594,967.588
184,1,1,1518.381,974.850
185,1,1,1641.090,981.434
186,1,1,1561.083,977.593
187,0,1,1527.852,970.012
188,1,1,1518.068,970.215
189,1,1,1514.290,968.905
190,0,0,1557.692,976.141
191,1,1,1547.907,976.031
192,1,1,1586.167,972.849
193,1,1,1539.514,983.336
194,1,1,1520.683,967.003
195,1,1,1555.606,977.053
196,0,0,1544.098,973.889
197,1,1,1516.123,967.889
198,1,1,1540.781,974.018
199,1,1,1526.664,969.575
200,0,0,1520.936,972.302
201,1,1,1515.926,970.837
202,1,1,1512.123,969.010
203,1,1,1514.806,971.064
204,1,1,1591.655,973.680
205,1,1,1566.966,975.594
206,1,1,1541.594,982.542
207,1,1,1519.058,969.465
208,1,1,1513.957,966.664
209,0,0,1525.058,979.083
210,1,1,1507.747,966.474
211,1,1,1533.225,976.591
212,1,1,1521.416,969.698
213,0,0,1513.507,969.163
214,1,1,1524.363,978.375
215,0,0,1508.954,966.197
216,1,1,1510.105,968.117
217,1,1,1571.760,965.803
218,0,0,1528.948,969.809
219,1,1,1513.570,966.745
220,1,1,1514.776,966.049
221,1,1,1518.382,977.416
222,1,1,1512.898,969.514
223,1,1,1512.271,968.099
224,0,0,1553.422,975.729
225,1,1,1529.268,969.637
226,0,0,1518.467,968.867
227,1,1,1514.013,968.473
228,1,1,1508.258,966.689
229,1,1,1514.264,967.594
230,1,1,1573.354,1018.129
231,1,1,1519.950,968.745
232,1,1,1520.031,972.443
233,1,1,1514.258,972.468
234,1,0,1507.305,968.640
235,1,1,1508.898,968.117
236,1,1,1512.769,968.831
237,1,1,1533.939,979.452
238,1,1,1529.606,978.215
239,1,1,1529.717,981.496
240,1,1,1510.418,969.440
241,1,1,1510.541,968.616
242,1,1,1507.662,968.326
243,1,1,1533.649,973.932
244,1,1,1528.135,973.723
245,1,1,1516.843,969.428
246,1,1,1526.603,979.871
247,0,0,1515.612,972.056
248,1,1,1509.434,967.913
249,1,1,1510.295,968.732
250,1,1,1560.695,1009.015
251,1,1,1518.813,969.428
252,1,1,1515.139,971.508
253,1,1,1522.276,979.102
254,1,1,1510.541,967.821
255,1,1,1509.624,966.917
256,1,1,1550.049,981.976
257,1,1,1524.899,970.554
258,1,1,1521.170,971.126
259,0,0,1514.683,970.197
260,0,0,1508.590,966.148
261,1,1,1506.640,967.612
262,1,1,1523.754,982.129
263,1,1,1564.141,971.219
264,1,1,1520.769,970.622
265,1,1,1514.917,966.338
266,1,1,1514.197,971.815
267,1,1,1515.649,971.514
268,1,1,1504.227,965.834
269,1,1,1539.151,982.553
270,1,1,1533.957,981.587
271,1,1,1520.936,978.117
272,1,1,1516.332,973.791
273,1,1,1507.692,967.649
274,1,1,1520.493,979.662
275,0,0,1514.117,971.970
276,1,1,1541.723,982.683
277,1,1,1515.127,968.837
278,0,0,1522.683,979.784
279,1,1,1512.948,967.950
280,1,0,1521.046,978.252
281,1,1,1510.683,974.874
282,1,1,1525.791,970.074
283,1,1,1524.948,972.985
284,1,1,1523.668,971.624
285,1,1,1593.040,979.126
286,1,1,1535.353,970.947
287,1,1,1516.985,968.991
288,0,0,1589.200,980.677
289,1,1,1531.667,973.828
290,1,1,1518.166,969.028
291,1,1,1508.203,967.557
292,1,1,1521.741,980.375
293,1,1,1524.683,980.911
294,1,1,1511.127,967.692
295,1,1,1532.523,974.837
296,1,1,1529.612,971.391
297,1,1,1523.970,980.757
298,1,1,1521.458,979.926
299,0,0,1523.600,979.613
300,1,1,1515.847,970.850
301,1,1,1528.917,973.538
302,1,1,1520.603,970.825
303,1,1,1517.397,968.061
304,1,1,1511.926,967.256
305,1,1,1506.098,967.225
306,1,1,1523.015,982.462
307,1,1,1515.914,972.382
308,1,1,1578.061,1021.680
309,1,1,1518.505,967.452
310,1,0,1513.304,969.649
311,1,1,1523.581,982.154
312,1,1,1513.428,970.135
313,1,1,1522.652,979.366
314,1,1,1539.975,978.529
315,1,1,1521.704,970.092
316,1,1,1528.333,981.046
317,1,0,1528.135,981.194
318,1,1,1515.575,968.640
319,0,0,1509.465,967.040
320,1,1,1513.348,969.840
321,1,1,1677.680,988.314
322,1,1,1548.505,972.024
323,1,1,1525.828,967.686
324,1,1,1527.212,980.917
325,1,1,1510.056,966.837
326,1,1,1514.363,967.945
327,1,1,1527.157,966.831
328,1,1,1525.612,969.957
329,1,1,1514.135,970.080
330,1,1,1521.539,973.329
331,1,1,1512.578,968.862
332,1,1,1519.477,974.892
333,0,0,1594.677,983.015
334,1,1,1531.157,971.446
335,1,1,1519.262,972.492
336,1,1,1514.597,970.461
337,0,1,1509.255,967.083
338,1,1,1513.114,968.615
339,1,1,1512.812,968.585
340,1,1,1568.339,969.969
341,1,1,1551.538,971.594
342,1,1,1521.194,968.861
343,1,1,1520.868,975.471
344,1,1,1558.936,977.988
345,1,1,1537.809,970.382
346,1,1,1540.947,971.347
347,1,1,1539.323,972.652
348,1,1,1548.018,971.218
349,1,1,1533.514,973.341
350,1,1,1522.191,967.717
351,1,0,1530.277,982.142
352,1,1,1513.360,969.452
353,1,1,1601.846,975.176
354,1,1,1525.299,972.166
355,0,0,1525.120,979.212
356,1,1,1516.861,968.695
357,1,1,1622.295,977.624
358,1,1,1563.293,987.649
359,1,1,1557.452,982.511
360,1,1,1528.018,970.510
361,1,1,1588.732,988.954
362,1,1,1547.335,973.434
363,1,1,1535.391,981.015
364,0,0,1527.107,981.446
365,1,1,1564.659,980.179
366,1,1,1541.705,973.336
367,1,1,1524.363,972.640
368,1,1,1521.378,969.569
369,1,1,1544.979,981.735
370,1,1,1562.043,979.680
371,1,1,1528.867,970.221
372,1,1,1599.040,972.363
373,1,1,1521.433,968.665
374,1,1,1529.944,979.993
375,1,1,1563.778,973.151
376,1,1,1533.169,971.107
377,1,1,1517.182,967.680
378,1,1,1532.080,967.539
379,1,1,1555.594,972.308
380,1,1,1543.397,977.213
381,0,0,1525.508,971.550
382,1,1,1524.203,973.582
383,1,1,1568.720,980.554
384,1,1,1603.360,977.477
385,0,0,1533.188,971.188
386,1,1,1539.865,983.747
387,1,1,1514.190,969.145
388,1,1,1564.911,975.231
389,1,1,1532.246,974.252
390,1,1,1523.809,971.600
391,1,1,1534.030,972.849
392,1,0,1584.591,970.523
393,1,1,1607.963,984.542
394,1,1,1544.332,972.172
395,1,1,1519.864,969.686
396,1,1,1513.385,966.357
397,1,1,1602.394,975.773
398,1,1,1541.711,968.861
399,1,1,1526.388,971.772
400,1,1,1531.668,981.815
401,1,1,1551.476,971.655
402,1,1,1538.554,972.696
403,1,1,1570.148,967.330
404,1,1,1531.692,970.695
405,1,0,1553.329,972.258
406,1,1,1545.101,976.788
407,1,1,1534.314,981.600
408,1,1,1519.409,970.425
409,1,1,1514.812,970.333
410,1,1,1567.606,975.422
411,1,1,1542.966,974.462
412,1,0,1530.462,979.970
413,0,0,1529.637,980.130
414,1,1,1542.997,969.440
415,1,1,1549.034,983.674
416,1,1,1544.031,970.375
417,1,1,1526.843,968.622
418,0,0,1519.945,967.895
419,1,1,1567.834,976.019
420,0,0,1526.603,969.828
421,1,0,1518.406,969.667
422,1,1,1527.957,981.428
423,1,1,1789.662,978.542
424,0,0,1541.643,969.790
425,1,1,1539.508,982.751
426,1,1,1528.259,980.591
427,1,1,1516.690,965.440
428,1,1,1632.000,982.536
429,1,0,1573.452,971.557
430,1,1,1542.529,972.129
431,1,1,1525.182,971.009
432,1,1,1522.739,974.800
433,1,1,1551.508,968.751
434,1,1,1543.003,972.874
435,1,1,1552.486,979.255
436,0,0,1531.944,970.185
437,1,1,1551.797,969.975
438,0,0,1550.511,974.270
439,1,1,1529.852,970.117
440,1,1,1510.683,966.338
441,1,0,1520.874,973.914
442,1,1,1586.314,977.440
443,1,1,1545.674,981.883
444,1,1,1526.252,973.421
445,1,1,1519.274,969.132
446,0,0,1544.523,972.849
447,1,1,1533.010,969.939
448,1,1,1547.673,975.650
449,0,0,1530.344,974.056
450,1,1,1519.304,972.413
451,1,1,1558.707,974.209
452,1,1,1539.114,979.723
453,1,1,1523.902,975.889
454,0,0,1545.810,986.807
455,1,1,1555.692,977.175
456,1,1,1540.726,971.447
457,1,1,1521.969,969.477
458,1,1,1527.865,981.397
459,0,1,1544.456,973.157
460,1,1,1539.132,972.954
461,1,1,1581.096,976.092
462,0,0,1518.807,969.046
463,1,1,1530.061,982.074
464,1,1,1611.083,983.625
465,1,1,1550.511,971.649
466,1,1,1524.916,969.711
467,1,1,1544.622,975.452
468,1,1,1571.151,977.987
469,1,1,1544.529,976.025
470,1,1,1525.760,969.662
471,1,1,1528.388,980.363
472,1,1,1559.834,969.951
473,1,1,1606.240,978.308
474,0,1,1540.461,976.455
475,1,1,1532.179,981.120
476,0,1,1525.637,972.517
477,1,1,1572.554,982.123
478,0,0,1541.384,983.557
479,1,1,1515.440,971.200
480,1,1,1590.806,972.265
481,1,1,1559.544,970.055
482,1,1,1540.787,977.391
483,1,1,1520.357,968.560
484,1,1,1511.656,967.102
485,1,0,1525.391,978.554
486,1,1,1586.203,983.963
487,1,1,1537.114,971.711
488,1,0,1529.249,975.544
489,1,1,1524.726,972.991
490,1,1,1548.068,969.693
491,1,1,1546.308,973.483
492,0,0,1571.317,971.009
493,1,1,1527.704,969.194
494,0,0,1520.776,967.329
495,1,1,1544.456,977.908
496,1,1,1549.452,976.148
497,1,1,1521.533,970.376
498,1,1,1519.071,971.742
499,1,1,1589.606,977.379
500,1,1,1596.887,984.677
501,1,1,1548.727,983.175
502,1,1,1534.302,982.068
503,1,1,1558.012,970.720
504,1,1,1552.178,978.905
505,1,1,1550.529,979.600
506,1,1,1538.800,982.388
507,0,0,1559.693,978.344
508,1,1,1538.590,974.338
509,1,1,1535.858,980.486
510,1,1,1515.723,969.563
511,1,1,1616.856,972.960
512,1,0,1557.730,978.370
513,1,1,1537.550,980.332
514,1,1,1529.680,981.077
515,1,1,1575.907,976.991
516,1,1,1537.976,979.957
517,0,0,1520.289,970.259
518,1,1,1570.720,970.400
519,1,1,1545.421,972.769
520,1,1,1528.430,970.474
521,1,1,1530.849,982.756
522,1,1,1568.148,981.016
523,1,1,1534.074,972.061
524,1,1,1549.385,976.548
525,1,1,1526.129,967.864
526,1,0,1547.822,971.785
527,1,1,1542.431,972.185
528,1,1,1537.354,983.440
529,1,1,1517.385,969.890
530,1,1,1640.701,979.286
531,1,1,1580.295,981.557
532,1,1,1531.957,971.052
533,1,1,1527.231,977.175
534,0,0,1576.905,988.591
535,1,1,1551.742,975.514
536,0,0,1525.261,969.748
537,1,1,1547.070,980.400
538,1,1,1573.440,975.840
539,1,1,1548.326,971.206
540,1,1,1539.194,982.923
541,1,1,1533.883,980.917
542,0,0,1569.600,976.603
543,1,1,1552.917,974.973
544,1,0,1538.018,972.098
545,0,0,1526.646,970.277
546,1,1,1581.760,979.711
547,0,0,1533.120,968.456
548,1,1,1533.471,982.665
549,1,1,1594.099,973.656
550,0,0,1565.053,972.258
551,0,0,1539.557,982.936
552,1,1,1532.664,982.092
553,1,0,1518.037,969.773
554,1,1,1539.680,966.566
555,1,1,1546.468,971.335
556,0,0,1547.993,976.480
557,0,1,1534.203,976.006
558,1,1,1552.228,972.874
559,1,1,1542.689,973.895
560,1,1,1533.250,982.431
561,1,1,1516.941,969.403
562,1,1,1611.003,983.138
563,1,1,1568.849,976.917
564,1,1,1525.649,966.647
565,1,1,1517.476,969.126
566,1,1,1559.490,973.218
567,0,0,1557.360,977.354
568,1,1,1544.043,984.136
569,0,0,1588.695,970.659
570,1,1,1561.834,978.006
571,0,0,1542.227,974.824
572,1,1,1525.501,970.283
573,0,0,1518.708,969.656
574,0,1,1568.006,979.520
575,1,1,1555.926,975.747
576,1,1,1529.680,970.628
577,1,1,1528.591,981.963
578,0,0,1556.603,978.874
579,1,1,1536.172,970.412
580,0,0,1524.708,969.175
581,1,1,1568.344,995.157
582,1,1,1571.742,984.449
583,1,1,1537.988,970.499
584,1,1,1522.012,971.636
585,1,1,1517.766,968.289
586,0,0,1561.656,976.086
587,1,1,1530.947,971.495
588,1,1,1591.970,972.979
589,1,1,1559.809,973.920
590,1,1,1538.172,974.880
591,1,1,1518.726,967.717
592,0,1,1532.203,981.785
593,1,1,1552.874,976.216
594,1,1,1569.465,986.173
595,1,1,1545.132,983.693
596,1,1,1521.785,971.335
597,0,0,1546.191,973.077
598,1,1,1539.231,972.849
599,1,1,1522.382,969.680
600,1,1,1593.120,968.560
601,1,1,1564.418,980.179
602,1,1,1541.181,974.050
603,1,1,1522.929,970.437
604,1,1,1546.172,975.102
605,1,1,1551.095,977.163
606,1,1,1525.169,968.474
607,1,1,1592.265,972.849
608,0,0,1573.447,972.400
609,1,1,1544.493,974.492
610,1,0,1537.157,983.046
611,1,1,1529.354,980.117
612,1,1,1544.911,973.446
613,1,1,1558.037,981.994
614,1,1,1528.191,970.357
615,0,0,1525.207,980.824
616,1,1,1518.560,969.433
617,1,1,1541.889,967.120
618,1,1,1544.806,975.865
619,1,1,1571.895,970.252
620,0,0,1554.517,974.916
621,1,1,1555.040,974.622
622,1,1,1543.563,983.003
623,1,1,1515.889,967.988
624,1,1,1533.920,981.231
625,1,1,1572.708,974.880
626,1,1,1609.920,983.847
627,1,0,1565.268,981.963
628,1,1,1580.455,973.889
629,1,1,1554.043,979.096
630,0,0,1524.413,968.203
631,1,1,1522.357,976.991
632,1,1,1570.105,979.698
633,0,0,1541.865,971.699
634,0,1,1535.791,982.178
635,1,1,1519.981,973.120
636,1,1,1549.176,975.809
637,1,1,1537.975,975.489
638,0,0,1596.185,970.258
639,1,1,1552.701,977.661
640,1,1,1557.249,975.594
641,1,1,1549.163,983.742
642,1,1,1523.810,969.397
643,1,1,1517.686,970.203
644,1,1,1545.593,973.723
645,1,1,1559.422,978.412
646,1,1,1532.087,970.947
647,1,1,1523.009,967.803
648,1,1,1550.523,971.070
649,1,1,1548.831,986.898
650,0,0,1520.978,967.988
651,1,1,1558.665,976.314
652,1,1,1554.209,977.206
653,0,0,1538.142,982.782
654,1,1,1531.446,981.753
655,0,0,1514.689,968.560
656,1,1,1560.720,978.308
657,1,1,1585.237,970.419
658,1,1,1547.471,975.550
659,1,1,1552.837,972.393
660,1,1,1554.314,976.572
661,1,1,1535.908,982.431
662,1,1,1517.391,968.622
663,0,1,1552.671,979.132
664,1,1,1556.585,977.021
665,1,1,1530.382,971.557
666,1,1,1533.994,982.627
667,0,0,1549.218,977.477
668,1,1,1534.787,972.609
669,1,1,1522.615,970.652
670,1,1,1541.612,972.049
671,1,1,1569.723,981.127
672,1,1,1548.443,984.769
673,1,0,1523.021,968.308
674,0,0,1511.157,967.231
675,1,1,1594.702,1006.289
676,0,0,1532.246,973.256
677,1,1,1604.935,975.003
678,0,0,1541.299,971.261
679,1,1,1572.892,978.265
680,1,0,1540.019,981.453
681,1,1,1533.391,982.030
682,1,1,1513.662,967.544
683,1,1,1604.751,979.576
684,1,1,1547.175,973.286
685,1,1,1520.825,968.228
686,1,1,1528.499,979.994
687,1,1,1546.486,973.902
688,1,1,1531.976,971.520
689,1,1,1565.298,990.517
690,1,1,1527.587,968.308
691,1,1,1553.163,977.846
692,1,1,1540.215,971.692
693,1,1,1521.138,970.123
694,1,1,1530.036,982.468
695,0,0,1557.994,974.936
696,1,1,1641.969,983.267
697,1,1,1577.176,980.745
698,0,0,1576.769,974.456
699,1,1,1571.477,978.012
700,1,1,1568.018,974.818
701,1,1,1564.591,979.391
702,1,1,1581.347,980.953
703,1,1,1565.225,974.320
704,1,1,1565.434,984.708
705,1,0,1562.597,980.283
706,1,0,1572.991,974.246
707,0,1,1596.363,972.573
708,1,1,1606.849,984.794
709,1,0,1572.369,981.840
710,1,1,1596.474,987.766
711,1,1,1580.904,980.541
712,1,1,1566.099,980.277
713,1,1,1582.990,983.225
714,1,1,1609.421,1009.846
715,1,1,1590.271,984.197
716,1,1,1599.256,990.634
717,1,0,1550.560,974.019
718,1,1,1582.277,976.566
719,1,1,1565.311,980.899
720,1,1,1628.671,977.114
721,1,1,1589.428,981.514
722,0,0,1581.071,983.034
723,1,1,1577.890,978.899
724,1,1,1555.551,976.031
725,1,1,1568.794,985.600
726,1,1,1571.699,984.492
727,1,1,1718.511,994.800
728,1,1,1581.618,981.526
729,1,0,1570.523,972.954
730,1,1,1572.080,978.855
731,1,1,1566.948,974.579
732,1,1,1537.446,970.868
733,1,1,1561.311,979.144
734,1,1,1538.480,971.514
735,1,0,1530.271,972.874
736,1,1,1516.400,969.600
737,1,1,1527.477,981.760
738,1,1,1510.548,966.579
739,1,1,1563.963,1001.280
740,1,1,1539.705,982.406
741,1,1,1520.714,970.584
742,1,1,1518.695,969.864
743,1,1,1513.564,971.600
744,1,1,1506.338,965.957
745,1,1,1517.188,969.224
746,1,1,1534.376,977.895
747,1,1,1532.929,979.575
748,1,1,1529.138,981.742
749,0,0,1511.582,965.828
750,1,1,1525.200,980.757
751,1,1,1515.926,969.822
752,0,1,1538.013,977.476
753,1,0,1523.114,968.677
754,1,1,1519.711,969.692
755,0,0,1523.606,979.692
756,1,1,1516.326,967.428
757,1,1,1524.252,980.474
758,1,1,1513.077,972.314
759,1,1,1569.304,974.886
760,1,1,1522.209,969.545
761,1,1,1515.083,966.911
762,1,1,1516.302,972.376
763,1,1,1515.335,970.400
764,1,1,1521.527,979.637
765,1,1,1524.468,972.603
766,1,1,1517.741,970.923
767,1,1,1530.080,980.037
768,1,1,1507.736,968.344
769,0,0,1527.779,981.040
770,1,1,1526.653,980.505
771,1,1,1547.933,966.505
772,1,1,1529.348,969.699
773,1,0,1516.271,967.920
774,1,0,1510.591,968.554
775,1,1,1511.310,971.901
776,1,1,1522.240,981.471
777,1,1,1523.323,979.993
778,0,0,1526.535,971.348
779,0,0,1514.289,966.554
780,1,1,1510.135,967.539
781,1,1,1512.024,965.797
782,1,1,1514.683,969.452
783,1,1,1522.745,980.621
784,1,1,1559.877,966.487
785,1,1,1522.012,968.744
786,0,0,1517.410,967.513
787,0,0,1516.930,970.209
788,1,0,1514.381,967.729
789,1,1,1513.594,967.150
790,0,1,1518.677,979.588
791,1,1,1530.222,970.714
792,1,1,1523.625,971.716
793,1,1,1524.259,979.865
794,1,1,1520.837,975.311
795,0,0,1524.332,980.301
796,1,1,1524.930,982.356
797,1,1,1599.182,978.443
798,1,1,1524.258,970.609
799,1,1,1513.810,967.237
800,0,0,1515.459,968.972
801,0,0,1510.289,968.499
802,1,1,1524.652,979.821
803,1,1,1509.433,966.861
804,0,0,1524.246,971.877
805,1,1,1528.197,975.452
806,1,1,1527.070,980.375
807,0,0,1521.576,977.975
808,1,1,1523.249,977.483
809,0,0,1524.240,979.274
810,1,1,1527.766,970.357
811,1,1,1527.434,972.301
812,1,1,1513.852,967.747
813,1,1,1522.990,979.717
814,1,1,1510.616,965.969
815,1,1,1511.373,966.806
816,1,1,1511.581,969.784
817,1,1,1572.745,1014.542
818,1,1,1522.621,968.443
819,1,1,1514.647,970.240
820,1,1,1524.019,979.416
821,1,1,1513.600,967.261
822,1,1,1516.437,972.283
823,0,0,1529.477,971.982
824,1,1,1531.797,981.742
825,1,1,1512.665,967.477
826,1,1,1512.327,967.649
827,1,1,1510.714,968.308
828,1,1,1511.717,969.286
829,1,1,1511.988,966.800
830,1,1,1616.633,979.858
831,1,1,1536.265,970.493
832,1,1,1520.474,968.388
833,1,1,1526.056,981.538
834,1,1,1529.299,980.689
835,1,1,1508.954,968.301
836,1,1,1534.936,975.594
837,1,1,1535.434,981.520
838,1,1,1519.292,970.812
839,1,1,1518.788,978.394
840,1,1,1514.129,969.028
841,1,1,1520.400,977.169
842,1,1,1560.653,972.258
843,1,1,1526.554,968.548
844,1,1,1515.612,968.043
845,1,1,1513.667,969.784
846,1,1,1510.732,968.917
847,1,1,1523.096,980.523
848,1,1,1521.385,979.040
849,0,0,1537.483,976.868
850,1,1,1524.492,969.169
851,1,1,1516.123,968.708
852,1,1,1530.418,981.945
853,1,1,1511.840,968.966
854,1,1,1512.973,970.578
855,1,1,1562.899,969.225
856,1,1,1525.428,972.824
857,1,1,1511.563,968.818
858,1,1,1522.948,978.492
859,0,1,1513.120,968.899
860,0,0,1513.126,965.569
861,0,0,1520.375,979.114
862,1,1,1565.409,984.037
863,1,1,1541.933,973.957
864,1,1,1537.667,981.994
865,1,1,1525.027,981.600
866,1,1,1511.957,966.936
867,1,1,1514.296,969.261
868,1,1,1528.296,966.683
869,1,1,1528.899,970.973
870,1,1,1527.723,981.034
871,1,1,1517.065,967.619
872,1,1,1515.459,968.856
873,1,1,1514.683,969.895
874,1,1,1509.065,967.637
875,1,1,1566.154,969.533
876,0,0,1531.496,981.957
877,1,1,1517.988,974.111
878,1,1,1519.483,970.714
879,0,0,1521.163,979.367
880,1,1,1509.631,969.169
881,1,1,1566.504,977.360
882,1,1,1544.043,972.862
883,0,0,1525.582,971.766
884,1,1,1535.883,981.747
885,1,1,1519.422,972.825
886,1,1,1510.086,965.993
887,1,0,1511.428,966.486
888,1,1,1539.865,974.707
889,1,1,1525.619,971.619
890,1,1,1527.034,980.831
891,0,0,1511.649,970.277
892,1,1,1519.957,980.504
893,1,0,1506.954,965.662
894,1,0,1530.529,972.720
895,1,1,1521.563,973.218
896,1,1,1512.308,967.286
897,1,1,1526.172,981.218
898,0,1,1512.344,969.089
899,1,1,1509.385,965.914
900,1,1,1566.462,980.548
901,1,1,1525.027,969.981
902,1,1,1521.138,975.741
903,1,1,1522.936,980.019
904,1,1,1512.985,966.837
905,1,1,1524.750,979.754
906,1,1,1515.563,971.139
907,0,0,1530.800,969.064
908,0,0,1520.942,969.951
909,1,1,1514.166,969.785
910,1,1,1526.695,978.671
911,1,1,1507.791,965.932
912,1,1,1512.375,967.877
913,1,1,1578.523,971.219
914,1,0,1530.942,975.785
915,1,1,1530.487,983.753
916,1,1,1526.228,980.129
917,1,1,1513.028,966.850
918,1,1,1524.080,979.310
919,1,1,1514.843,969.385
920,1,0,1528.776,971.520
921,1,1,1519.323,969.624
922,1,1,1516.942,969.847
923,1,1,1513.526,970.289
924,1,1,1512.923,968.855
925,1,1,1520.523,980.425
926,1,1,1527.876,969.532
927,1,1,1534.536,983.133
928,1,1,1523.994,978.874
