category,experiment_version,metric,value,unit,source_file,generated_by,our_experiment,ready_for_paper,notes
HLS CSYNTH,Q16-S0-PARETO1,FF,89690,registers,stage2_dense_hls_baselines/q16_s0_pareto1/reports/pareto1_csynth_summary.csv,Vitis HLS CSYNTH,TRUE,TRUE,
HLS CSYNTH,Q16-S0-PARETO1,LUT,146862,count,stage2_dense_hls_baselines/q16_s0_pareto1/reports/pareto1_csynth_summary.csv,Vitis HLS CSYNTH,TRUE,TRUE,276% of limit
HLS CSYNTH,Q16-S0-PARETO1,latency_cycles,6208,cycles,stage2_dense_hls_baselines/q16_s0_pareto1/hls/.../csynth.rpt,Vitis HLS CSYNTH,TRUE,TRUE,
HLS CSYNTH,Q16-S0-PARETO1,latency_us_at_100MHz,62.08,us,Computed from cycles,6208/(100e6)*1e6,TRUE,TRUE,
HLS CSYNTH,Q16-S0-PARETO1,pynq_z2_fit,FALSE,bool,Resource check,Manual comparison,TRUE,TRUE,DSP 2639 > 220 limit
HLS CSIM,Q16-S0-PARETO1,csim_status,PASS_RELAXED,status,stage2_dense_hls_baselines/q16_s0_pareto1/reports/pareto1_csim_summary.txt,Vitis HLS CSIM,TRUE,TRUE,
HLS CSIM,Q16-S0-PARETO2,prediction_match_rate_vs_q32,0.9850,fraction,stage2_dense_hls_baselines/q16_s0_pareto2/reports/pareto2_csim_summary.txt,Vitis HLS CSIM,TRUE,TRUE,197/200
HLS CSIM,Q16-S0-PARETO2,hw_label_accuracy,0.9450,fraction,stage2_dense_hls_baselines/q16_s0_pareto2/reports/pareto2_csim_summary.txt,Vitis HLS CSIM,TRUE,TRUE,189/200
HLS CSIM,Q16-S0-PARETO2,ref_label_accuracy,0.9500,fraction,stage2_dense_hls_baselines/q16_s0_pareto2/reports/pareto2_csim_summary.txt,Vitis HLS CSIM,TRUE,TRUE,190/200
HLS CSIM,Q16-S0-PARETO2,max_abs_error,0.42115319,,stage2_dense_hls_baselines/q16_s0_pareto2/reports/pareto2_csim_summary.txt,Vitis HLS CSIM,TRUE,TRUE,
HLS CSIM,Q16-S0-PARETO2,mean_abs_error,0.06591579,,stage2_dense_hls_baselines/q16_s0_pareto2/reports/pareto2_csim_summary.txt,Vitis HLS CSIM,TRUE,TRUE,
HLS CSIM,Q16-S0-PARETO2,csim_status,PASS_RELAXED,status,stage2_dense_hls_baselines/q16_s0_pareto2/reports/pareto2_csim_summary.txt,Vitis HLS CSIM,TRUE,TRUE,
HLS CSYNTH,Q16-S0-PARETO2,BRAM,13,blocks,stage2_dense_hls_baselines/q16_s0_pareto2/reports/pareto2_csynth_summary.csv,Vitis HLS CSYNTH,TRUE,TRUE,4.6% of 280
HLS CSYNTH,Q16-S0-PARETO2,DSP,156,slices,stage2_dense_hls_baselines/q16_s0_pareto2/reports/pareto2_csynth_summary.csv,Vitis HLS CSYNTH,TRUE,TRUE,70.9% of 220 FITS
HLS CSYNTH,Q16-S0-PARETO2,FF,9484,registers,stage2_dense_hls_baselines/q16_s0_pareto2/reports/pareto2_csynth_summary.csv,Vitis HLS CSYNTH,TRUE,TRUE,8.9% of 106400 FITS
HLS CSYNTH,Q16-S0-PARETO2,LUT,22056,count,stage2_dense_hls_baselines/q16_s0_pareto2/reports/pareto2_csynth_summary.csv,Vitis HLS CSYNTH,TRUE,TRUE,41.5% of 53200 FITS
HLS CSYNTH,Q16-S0-PARETO2,latency_cycles,74084,cycles,stage2_dense_hls_baselines/q16_s0_pareto2/reports/pareto2_csynth_summary.csv,Vitis HLS CSYNTH,TRUE,TRUE,
HLS CSYNTH,Q16-S0-PARETO2,latency_us_at_100MHz,740.84,us,Computed from cycles,74084/(100e6)*1e6,TRUE,TRUE,HLS estimate only
HLS CSYNTH,Q16-S0-PARETO2,latency_ms_at_100MHz,0.74084,ms,Computed from cycles,740.84/1000,TRUE,TRUE,HLS estimate only
HLS CSYNTH,Q16-S0-PARETO2,estimated_clock_ns,7.903,ns,stage2_dense_hls_baselines/q16_s0_pareto2/reports/pareto2_csynth_summary.csv,Vitis HLS CSYNTH,TRUE,TRUE,
HLS CSYNTH,Q16-S0-PARETO2,csynth_status,PASS,status,stage2_dense_hls_baselines/q16_s0_pareto2/reports/pareto2_csynth_summary.csv,Vitis HLS CSYNTH,TRUE,TRUE,
HLS CSYNTH,Q16-S0-PARETO2,pynq_z2_fit,TRUE,bool,Resource check,Manual comparison,TRUE,TRUE,ALL resources within limits
HLS CSIM,Q16-S0-PARETO2-AXI,prediction_match_rate_vs_q32,0.9850,fraction,stage2_dense_hls_baselines/q16_s0_pareto2_axi/logs/pareto2_axi_export.log,Vitis HLS CSIM,TRUE,TRUE,
HLS CSIM,Q16-S0-PARETO2-AXI,hw_label_accuracy,0.9450,fraction,stage2_dense_hls_baselines/q16_s0_pareto2_axi/logs/pareto2_axi_export.log,Vitis HLS CSIM,TRUE,TRUE,
HLS CSIM,Q16-S0-PARETO2-AXI,csim_status,PASS_RELAXED,status,stage2_dense_hls_baselines/q16_s0_pareto2_axi/logs/pareto2_axi_export.log,Vitis HLS CSIM,TRUE,TRUE,
HLS CSYNTH,Q16-S0-PARETO2-AXI,BRAM,13,blocks,stage2_dense_hls_baselines/q16_s0_pareto2_axi/reports/pareto2_axi_comparison.csv,Vitis HLS CSYNTH,TRUE,TRUE,
HLS CSYNTH,Q16-S0-PARETO2-AXI,DSP,156,slices,stage2_dense_hls_baselines/q16_s0_pareto2_axi/reports/pareto2_axi_comparison.csv,Vitis HLS CSYNTH,TRUE,TRUE,
HLS CSYNTH,Q16-S0-PARETO2-AXI,FF,11458,registers,stage2_dense_hls_baselines/q16_s0_pareto2_axi/reports/pareto2_axi_comparison.csv,Vitis HLS CSYNTH,TRUE,TRUE,+1974 vs original AXI bus overhead
HLS CSYNTH,Q16-S0-PARETO2-AXI,LUT,25402,count,stage2_dense_hls_baselines/q16_s0_pareto2_axi/reports/pareto2_axi_comparison.csv,Vitis HLS CSYNTH,TRUE,TRUE,+3346 vs original AXI bus overhead
HLS CSYNTH,Q16-S0-PARETO2-AXI,latency_cycles,75627,cycles,stage2_dense_hls_baselines/q16_s0_pareto2_axi/reports/pareto2_axi_comparison.csv,Vitis HLS CSYNTH,TRUE,TRUE,+1543 vs original
HLS CSYNTH,Q16-S0-PARETO2-AXI,latency_us_at_100MHz,756.27,us,Computed from cycles,75627/(100e6)*1e6,TRUE,TRUE,HLS estimate only NOT measured
HLS CSYNTH,Q16-S0-PARETO2-AXI,estimated_fmax_mhz,126.53,MHz,stage2_dense_hls_baselines/q16_s0_pareto2_axi/reports/pareto2_axi_comparison.csv,Vitis HLS CSYNTH,TRUE,TRUE,
HLS CSYNTH,Q16-S0-PARETO2-AXI,csynth_status,PASS,status,stage2_dense_hls_baselines/q16_s0_pareto2_axi/logs/pareto2_axi_export.log,Vitis HLS CSYNTH,TRUE,TRUE,
HLS CSYNTH,Q16-S0-PARETO2-AXI,ip_export_status,PASS,status,stage2_dense_hls_baselines/q16_s0_pareto2_axi/logs/pareto2_axi_export.log,Vitis HLS export_design,TRUE,TRUE,
HLS CSYNTH,Q16-S0-PARETO2-AXI,pynq_z2_fit,TRUE,bool,Resource check,Manual comparison,TRUE,TRUE,
HLS CSYNTH,Q16-S0-PARETO2-AXI,interface_input,m_axi bundle=gmem0,,stage2_dense_hls_baselines/q16_s0_pareto2_axi/hls/src/imgds_linear_dense_q16.cpp,Manual pragma,TRUE,TRUE,
HLS CSYNTH,Q16-S0-PARETO2-AXI,interface_logits,m_axi bundle=gmem1,,stage2_dense_hls_baselines/q16_s0_pareto2_axi/hls/src/imgds_linear_dense_q16.cpp,Manual pragma,TRUE,TRUE,
HLS CSYNTH,Q16-S0-PARETO2-AXI,interface_control,s_axilite bundle=control,,stage2_dense_hls_baselines/q16_s0_pareto2_axi/hls/src/imgds_linear_dense_q16.cpp,Manual pragma,TRUE,TRUE,
Vivado,PARETO2-AXI PYNQ-Z2,impl_status,write_bitstream Complete!,status,vivado/pareto2_axi_pynq_z2/vivado_pareto2_axi_build.log,Vivado 2022.2,TRUE,TRUE,
Vivado,PARETO2-AXI PYNQ-Z2,LUT_placed,14004,count,vivado/pareto2_axi_pynq_z2/vivado_pareto2_axi_summary.md,Vivado utilization report,TRUE,TRUE,26.3% of 53200
Vivado,PARETO2-AXI PYNQ-Z2,FF_placed,12903,registers,vivado/pareto2_axi_pynq_z2/vivado_pareto2_axi_summary.md,Vivado utilization report,TRUE,TRUE,12.1% of 106400
Vivado,PARETO2-AXI PYNQ-Z2,DSP_placed,156,slices,vivado/pareto2_axi_pynq_z2/vivado_pareto2_axi_summary.md,Vivado utilization report,TRUE,TRUE,70.9% of 220
Vivado,PARETO2-AXI PYNQ-Z2,BRAM_placed,15,blocks,vivado/pareto2_axi_pynq_z2/vivado_pareto2_axi_summary.md,Vivado utilization report,TRUE,TRUE,5.4% of 280
Vivado,PARETO2-AXI PYNQ-Z2,WNS,+0.330,ns,vivado/pareto2_axi_pynq_z2/vivado_pareto2_axi_summary.md,Vivado timing report,TRUE,TRUE,PASS
Vivado,PARETO2-AXI PYNQ-Z2,WHS,+0.022,ns,vivado/pareto2_axi_pynq_z2/vivado_pareto2_axi_summary.md,Vivado timing report,TRUE,TRUE,PASS
Vivado,PARETO2-AXI PYNQ-Z2,WPWS,+3.750,ns,vivado/pareto2_axi_pynq_z2/vivado_pareto2_axi_summary.md,Vivado timing report,TRUE,TRUE,
Vivado,PARETO2-AXI PYNQ-Z2,timing_status,PASS,status,vivado/pareto2_axi_pynq_z2/vivado_pareto2_axi_summary.md,Vivado timing report,TRUE,TRUE,
Vivado,PARETO2-AXI PYNQ-Z2,bit_file,pynq_package/.../pareto2.bit,path,vivado/pareto2_axi_pynq_z2/vivado_pareto2_axi_summary.md,Vivado write_bitstream,TRUE,TRUE,3.9 MB
Vivado,PARETO2-AXI PYNQ-Z2,hwh_file,pynq_package/.../pareto2.hwh,path,vivado/pareto2_axi_pynq_z2/vivado_pareto2_axi_summary.md,Vivado hw_handoff,TRUE,TRUE,263 KB
Vivado,PARETO2-AXI PYNQ-Z2,ip_instance,imgds_linear_dense_q16_0,name,vivado/pareto2_axi_pynq_z2/vivado_pareto2_axi_summary.md,Vivado block design,TRUE,TRUE,
Vivado,PARETO2-AXI PYNQ-Z2,s_axi_control_base_addr,0x4000_0000,hex,vivado/pareto2_axi_pynq_z2/vivado_pareto2_axi_summary.md,Vivado address assignment,TRUE,TRUE,64K range
Vivado,PARETO2-AXI PYNQ-Z2,control_reg_offset,0x00,hex,ximgds_linear_dense_q16_hw.h,HLS driver auto-gen,TRUE,TRUE,bit0=start bit1=done
Vivado,PARETO2-AXI PYNQ-Z2,input_r_reg_offset,0x10,hex,ximgds_linear_dense_q16_hw.h,HLS driver auto-gen,TRUE,TRUE,64-bit base addr gmem0
Vivado,PARETO2-AXI PYNQ-Z2,logits_reg_offset,0x1C,hex,ximgds_linear_dense_q16_hw.h,HLS driver auto-gen,TRUE,TRUE,64-bit base addr gmem1
PYNQ-Z2 Measured,PARETO2-AXI,kernel_runtime_mean_us_100runs,2382.631830,us,Board terminal output,PENDING_COPY_BACK CSV,TRUE,TRUE,PENDING CSV copy from PYNQ-Z2
PYNQ-Z2 Measured,PARETO2-AXI,kernel_runtime_std_us_100runs,33.527395,us,Board terminal output,PENDING_COPY_BACK CSV,TRUE,TRUE,PENDING CSV copy from PYNQ-Z2
PYNQ-Z2 Measured,PARETO2-AXI,total_runtime_mean_us_200samples,2408.759255,us,Board terminal output,PENDING_COPY_BACK CSV,TRUE,TRUE,THIS IS THE REAL FPGA LATENCY
PYNQ-Z2 Measured,PARETO2-AXI,total_runtime_std_us_200samples,36.471145,us,Board terminal output,PENDING_COPY_BACK CSV,TRUE,TRUE,
PYNQ-Z2 Measured,PARETO2-AXI,throughput_samples_per_sec,415.151493,samples/s,Board terminal output,PENDING_COPY_BACK CSV,TRUE,TRUE,
PYNQ-Z2 Measured,PARETO2-AXI,prediction_match_rate_vs_q32,0.99,fraction,Board terminal output,PENDING_COPY_BACK CSV,TRUE,TRUE,198/200
PYNQ-Z2 Measured,PARETO2-AXI,hw_label_accuracy,0.99,fraction,Board terminal output,PENDING_COPY_BACK CSV,TRUE,TRUE,198/200
PYNQ-Z2 Measured,PARETO2-AXI,ref_label_accuracy,1.00,fraction,Board terminal output,PENDING_COPY_BACK CSV,TRUE,TRUE,200/200
PYNQ-Z2 Measured,PARETO2-AXI,max_abs_error_vs_q32,0.422129750,,"Board terminal output,PENDING_COPY_BACK CSV",Board terminal output,TRUE,TRUE,
PYNQ-Z2 Measured,PARETO2-AXI,mean_abs_error_vs_q32,0.074337892,,"Board terminal output,PENDING_COPY_BACK CSV",Board terminal output,TRUE,TRUE,
PYNQ-Z2 Measured,PARETO2-AXI,speedup_vs_vit4mal_fastest_0p81s,336.272709,ratio,Computed 810000/2408.76,Manual calculation,TRUE,TRUE,REAL SPEEDUP
PYNQ-Z2 Measured,PARETO2-AXI,speedup_vs_vit4mal_recommended_1p48s,614.424209,ratio,Computed 1480000/2408.76,Manual calculation,TRUE,TRUE,
PYNQ-Z2 Measured,PARETO2-AXI,n_benchmark_runs,100,count,Board terminal output,PENDING_COPY_BACK CSV,TRUE,TRUE,
PYNQ-Z2 Measured,PARETO2-AXI,n_eval_samples,200,count,Board terminal output,PENDING_COPY_BACK CSV,TRUE,TRUE,
PYNQ-Z2 Measured,PARETO2-AXI,latency_source,PYNQ_Z2_MEASURED,label,Board terminal output,PENDING_COPY_BACK CSV,TRUE,TRUE,NOT HLS estimated
PYNQ-Z2 Measured,PARETO2-AXI,pynq_measured,True,bool,Board terminal output,PENDING_COPY_BACK CSV,TRUE,TRUE,Real hardware
